"scientific_name","class","order"
"Bombycilla cedrorum","Aves","Passeriformes"
"Myiarchus crinitus","Aves","Passeriformes"
"Corvus monedula","Aves","Passeriformes"
"Corvus frugilegus","Aves","Passeriformes"
"Lophodytes cucullatus","Aves","Anseriformes"
"Fulica atra","Aves","Gruiformes"
"Larus glaucescens","Aves","Charadriiformes"
"Xiphias gladius","Actinopteri","Istiophoriformes"
"Lamna ditropis","Chondrichthyes","Lamniformes"
"Setophaga magnolia","Aves","Passeriformes"
"Setophaga virens","Aves","Passeriformes"
"Empidonax minimus","Aves","Passeriformes"
"Empidonax wrightii","Aves","Passeriformes"
"Spizella arborea","Aves","Passeriformes"
"Cygnus columbianus","Aves","Anseriformes"
"Phylloscopus bonelli","Aves","Passeriformes"
"Sylvia undata","Aves","Passeriformes"
"Setophaga fusca","Aves","Passeriformes"
"Serinus serinus","Aves","Passeriformes"
"Geothlypis philadelphia","Aves","Passeriformes"
"Thamnophis butleri","Lepidosauria","Squamata"
"Cuculus canorus","Aves","Cuculiformes"
"Crex crex","Aves","Gruiformes"
"Agkistrodon contortrix","Lepidosauria","Squamata"
"Rallus elegans","Aves","Gruiformes"
"Cynictis penicillata","Mammalia","Carnivora"
"Ondatra zibethicus","Mammalia","Rodentia"
"Macropus giganteus","Mammalia","Diprotodontia"
"Gazella gazella","Mammalia","Artiodactyla"
"Rupicapra rupicapra","Mammalia","Artiodactyla"
"Equus caballus","Mammalia","Perissodactyla"
"Loxodonta africana","Mammalia","Proboscidea"
"Caprimulgus vociferus","Aves","Caprimulgiformes"
"Melospiza lincolnii","Aves","Passeriformes"
"Deirochelys reticularia","Reptilia","Testudines"
"Chrysemys picta","Reptilia","Testudines"
"Emydoidea blandingii","Reptilia","Testudines"
"Sternotherus odoratus","Reptilia","Testudines"
"Nerodia sipeodon","Reptilia","Squamata"
"Gopherus polyphemus","Reptilia","Testudines"
"Chelydra serpentina","Reptilia","Testudines"
"Rhincodontypus","Chondrichthyes","Orectolobiformes"
"Sylvia atricapilla","Aves","Passeriformes"
NA,NA,NA
