"","scientific_name.x","collapsed_name","dispersal_km","dispersal_checked","source_dispersal","dispersal.original.value","dispersal.original.units","Migration_km","migration_checked","Migration_source","migration.original.value","migration.original.units","mean.hra.m2","home_range_checked","source_hra","hra.original.value","hra.original.unit","Mass_kg","Mass_source","mass.checked","number_traits_completed","person","diet","diet.source","media..air..water..land.","medium.source","geographic.range..km2.","geographic.unit.source","IUCN","mean.hra.km2","hr.radius","class","scientific_name"
"270","Parus major","parusmajor",41.1,"DM","Jenkins_et_al_2007","41100","m",0,"MG","Moller_etal_2004","0","in multiple of 500 km",10000,"SDS","Bowman_2003","1","ha",0.0197,"armstrong_1965","",4,"","Omnivore/Invertivore","Pigot_etal_2020","","","89800000","IUCN (estimated extent of occurrence)",NA,0.01,0.0564189583547756,"AVES","Parus major"
"271","Pica pica","picapica",44.3,"DM","Jenkins_et_al_2007","44300","m",0,"MG","Moller_etal_2004","0","in multiple of 500 km",15000,"SDS","Bowman_2003","1.5","ha",0.189,"Moller_etal_2004","",4,"SDS","Omnivore/Omnivore","Pigot_etal_2020","","","10000000","IUCN (estimated extent of occurrence)",NA,0.015,0.0690988298942671,"AVES","Pica pica"
"272","Streptopelia decaocto","streptopeliadecaocto",59.9,"DM","Jenkins_et_al_2007","59900","m",0,"MG","Moller_etal_2004","0","in multiple of 500 km",106200,"MG - value was 13.5","Eraud_et_al_2011","10.66","ha",0.152,"Moller_etal_2004","",4,"MG","Omnivore/Herbivore","Pigot_etal_2020","","","213000000","IUCN (estimated extent of occurrence)",NA,0.1062,0.183860028045028,"AVES","Streptopelia decaocto"
"273","Motacilla cinerea","motacillacinerea",85.6,"DM","Jenkins_et_al_2007","85600","m",3000,"MG","Moller_etal_2004","6","in multiple of 500 km",23000,"SDS","Klemp_2004","2.3","ha",0.018,"Moller_etal_2004","",4,"SDS","Carnivore/Invertivore","Pigot_etal_2020","","","60700000","IUCN (estimated extent of occurrence)",NA,0.023,0.085563586777479,"AVES","Motacilla cinerea"
"274","Emberiza citrinella","emberizacitrinella",36,"DM","Jenkins_et_al_2007","36000","m",500,"MG","Moller_etal_2004","1","in multiple of 500 km",40000,"CF","Moller_1990","4","ha- estimated from a shitty graph",0.0265,"Moller_etal_2004","",4,"CF","Herbivore/Granivore","Pigot_etal_2020","","","21600000","IUCN (estimated extent of occurrence)",NA,0.04,0.112837916709551,"AVES","Emberiza citrinella"
"275","Alauda arvensis","alaudaarvensis",51.7,"DM","Jenkins_et_al_2007","51700","m",1500,"MG","Moller_etal_2004","3","in multiple of 500 km",29000,"changed: was 2.8 which is almost the size in hectares presented in the paper","Poulsen_et_al_1998","","",0.0427,"Moller_etal_2004","yes",4,"CJL","Omnivore/Omnivore","Pigot_etal_2020","","","42900000","IUCN (estimated extent of occurrence)",NA,0.029,0.0960780240186586,"AVES","Alauda arvensis"
"276","Passer montanus","passermontanus",8,"MG","Paradis_1998 & Prugh_etal.","8","Km",500,"MG","Moller_etal_2004","1","in multiple of 500 km",7600,"MG - value was 13000","Zheng_Guangmei_2003","7600","m2",0.022,"Moller_etal_2004","",4,"SDS","Omnivore/Granivore","Pigot_etal_2020","","","98300000","IUCN (estimated extent of occurrence)",NA,0.0076,0.0491849075936594,"AVES","Passer montanus"
"277","Turdus merula","turdusmerula",4,"DM","Prugh_etal","4","km",0,"MG","Moller_etal_2004","0","in multiple of 500 km",7284.34,"SDS","Schoener_1968","1.8","acres",0.092,"Schoener_1968","",4,"","Omnivore/Omnivore","Pigot_etal_2020","","","32400000","IUCN (estimated extent of occurrence)",NA,0.00728434,0.0481526472410815,"AVES","Turdus merula"
"278","Columba livia","columbalivia",3,"MG","Tang et al. 2018","3","Km",0,"MG","Moller_etal_2004","0","in multiple of 500 km",16400,"CJL - value was 36500","Sol_1995","1.64","ha",0.393,"Moller_etal_2004","",4,"CF","Herbivore/Granivore","Pigot_etal_2020","flying","Hirt_etal","64600000","IUCN (estimated extent of occurrence)",NA,0.0164,0.0722515199384357,"AVES","Columba livia"
"279","Columba palumbus","columbapalumbus",150,"DM","Jenkins_et_al_2007","150000","m",500,"MG","Moller_etal_2004","1","in multiple of 500 km",2540000,"DM","Tamburello_etal","2540000","m2",0.49,"Moller_etal_2004","",4,"","Omnivore/Herbivore","Pigot_etal_2020","flying - air","Tamburello_etal","26800000","IUCN (estimated extent of occurrence)",NA,2.54,0.89917023466462,"AVES","Columba palumbus"
"280","Motacilla alba","motacillaalba",100,"DM","Jenkins_et_al_2007","100000","m",2500,"MG","Moller_etal_2004","5","in multiple of 500 km",785000,"DM","Tamburello_etal","785000","m2",0.02122,"Tamburello_etal","yes",4,"","Carnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","37800000","IUCN (estimated extent of occurrence)",NA,0.785,0.499873244587341,"AVES","Motacilla alba"
"281","Saxicola rubetra","saxicolarubetra",0.5,"MG","Bastian_1992","500","m",6000,"MG","Moller_etal_2004","12","in multiple of 500 km",7300,"DM","Tamburello_etal","7300","m2",0.01648,"Tamburello_etal","yes",4,"SDS","Carnivore/Invertivore","Pigot_etal_2020","flying - air ","Tamburello_etal","17000000","IUCN (estimated extent of occurrence)",NA,0.0073,0.0482043791490117,"AVES","Saxicola rubetra"
"282","Sitta europaea","sittaeuropaea",24.1,"DM","Jenkins_et_al_2007","24100","m",0,"MG","Moller_etal_2004","0","in multiple of 500 km",21000,"DM","Tamburello_etal","21000","m2",0.0183,"Tamburello_etal","yes",4,"","Carnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","51400000","IUCN (estimated extent of occurrence)",NA,0.021,0.0817588381146626,"AVES","Sitta europaea"
"283","Passer domesticus","passerdomesticus",4,"MG - value was 26","Paradis_1998 & Prugh_etal.","4","km",0,"MG","Moller_etal_2004","0","in multiple of 500 km",7762.5,"CJL - value was 7500","Vengestel_etal_2010","weighted avg of SIP's in Table 1","ha",0.029,"Mace_Harvey_1983","",4,"SDS","Herbivore/Granivore","Pigot_etal_2020","","","68500000","IUCN (estimated extent of occurrence)",NA,0.0077625,0.0497079519946424,"AVES","Passer domesticus"
"284","Brachylagus idahoensis","brachylagusidahoensis",1.95,"DM","Whitmee and Ormee 2012","1.95","linear km",0,"SDS","Montana field guide","0 - nonmigatory","km",4858.81,"DM","Tamburello_etal","4858.81","m2",0.3402,"Tamburello_etal","yes",4,"MG","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","935812","IUCN (estimated extent of occurrence)",NA,0.00485881,0.0393269279004687,"MAMMALIA","Brachylagus idahoensis"
"285","Zapus hudsonius","zapushudsonius",4.83,"DM","Prugh_etal","4.83","km",0,"SDS","Montana FWP","0 - nonmigatory","km",5300,"CJL","Mace_Harvey_1983","0.53","ha",0.022,"Mace_Harvey_1983","",4,"SDS","Omnivore/Herbivore/Invertivore","EOL","running","Hirt_etal","18123728","IUCN (estimated extent of occurrence)",NA,0.0053,0.0410736216661508,"MAMMALIA","Zapus hudsonius"
"286","Microtus montanus","microtusmontanus",1.75,"DM","Prugh_etal","1.75","km",0,"SDS","Montana FWP","0 - nonmigatory","km",151.6,"DM","Tamburello_etal","151.6","m2",0.0567,"Tamburello_etal","yes",4,"SDS","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","2317578","IUCN (estimated extent of occurrence)",NA,0.0001516,0.00694663794547137,"MAMMALIA","Microtus montanus"
"287","Sorex cinereus","sorexcinereus",5.09,"DM","Prugh_etal","5.09","km",0,"SDS","Montana FWP","0 - nonmigatory","km",5011.87,"DM","Tamburello_etal","5011.87","m2",0.00417,"Tamburello_etal","yes",4,"MG","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","19648532","IUCN (estimated extent of occurrence)",NA,0.00501187,0.0399415544172727,"MAMMALIA","Sorex cinereus"
"288","Carcharhinus melanopterus","carcharhinusmelanopterus",5,"DM","Jenkins_et_al_2007","5000","m",50,"CJL","Mourier_Planes_2013","50","km",5e+05,"SDS","Mourier_Planes_2013","0.5","km2",13.5,"Fishbase","",4,"SDS","Carnivore","EOL","","","","",NA,0.5,0.398942280401433,"CHONDRICHTHYES","Carcharhinus melanopterus"
"289","Meleagris gallopavo","meleagrisgallopavo",48,"DM","Jenkins_et_al_2007","48000","m",0,"MG","Fristoe_et_al_2017","resident","",14520000,"MG - value was 3630000, no idea where they got it from","Davis et al. 2018","2.15","km",6.023,"Mace_Harvey_1983","",4,"","Omnivore/Herbivore","Pigot_etal_2020","","","11300000","IUCN (estimated extent of occurrence)",NA,14.52,2.14985105237285,"AVES","Meleagris gallopavo"
"290","Alouatta palliata","alouattapalliata",1.3,"DM","Whitmee and Ormee 2012","1300","linear m",0,"SDS","IUCN","resident","",404500,"MG","Galan-Acedo et al. 2019","40.45","ha",6.12,"Galan-Acedo et al. 2019","",4,"PT","Herbivore","EOL","","","","(can be found in Galan-Acedo et al. 2019)",NA,0.4045,0.358826349313067,"MAMMALIA","Alouatta palliata"
"291","Aplodontia rufa","aplodontiarufa",0.1525,"DM","Whitmee and Ormee 2012, Prugh_etal","152.5","linear m",0,"SDS","IUCN","resident","",1800,"CJL","Mace_Harvey_1983","0.18","ha",1.135,"Mace_Harvey_1983","",4,"PT","Herbivore","EOL","","","602124","IUCN (estimated extent of occurrence)",NA,0.0018,0.023936536824086,"MAMMALIA","Aplodontia rufa"
"292","Tympanuchus cupido","tympanuchuscupido",10.8,"DM","Jenkins_et_al_2007","10800","m",0,"SDS","IUCN","not a migrant","",53200,"CJL","Mace_Harvey_1983","5.32","ha",0.908,"Mace_Harvey_1983","",4,"","Herbivore/Granivore","Pigot_etal_2020","","","1990000","IUCN (estimated extent of occurrence)",NA,0.0532,0.130131033750515,"AVES","Tympanuchus cupido"
"293","Strix aluco","strixaluco",35.3,"DM","Jenkins_et_al_2007","35300","m",0,"MG","Fristoe_et_al_2017","resident","",360000,"DM","makarieva_etal_2005","36","ha",0.519,"Tamburello_etal","",4,"","Carnivore/Vertivore","Pigot_etal_2020","flying - air","Tamburello_etal","23300000","IUCN (estimated extent of occurrence)",NA,0.36,0.338513750128654,"AVES","Strix aluco"
"294","Aegolius funereus","aegoliusfunereus",300,"DM","Jenkins_et_al_2007","300000","m",0,"MG","Lofgren_et_al_1996","","",1138000,"CJL","Santangeli et al. 2012","113.8","ha",0.119,"Tamburello_etal","",4,"PT","Carnivore/Vertivore","Pigot_etal_2020","flying - air","Tamburello_etal","73800000","IUCN (estimated extent of occurrence)",NA,1.138,0.60186098932989,"AVES","Aegolius funereus"
"295","Poecile atricapillus","poecileatricapillus",11.2,"DM","Jenkins_et_al_2007","11200","m",0,"SDS","IUCN","not a migrant","",14568.7,"SDS","Schoener_1968","3.6","acres",0.011,"Schoener_1968","",4,"","Omnivore/Invertivore","Pigot_etal_2020","","","15000000","IUCN (estimated extent of occurrence)",NA,0.0145687,0.0680981735353144,"AVES","Poecile atricapillus"
"296","Accipiter nisus","accipiternisus",166,"DM","Jenkins_et_al_2007","166000","m",1100,"MG -  was 0","http://birds.kz/v2taxon.php?l=en&s=85 + google earth","Its migratory, trying to find ref","",10800000,"CJL","Selas_rafoss_2008","average of 9.2 (males) and 12.3 (females)","km2",0.807,"Tamburello_etal","",4,"MG","Carnivore/Vertivore","Pigot_etal_2020","flying - air","Tamburello_etal","54400000","IUCN (estimated extent of occurrence)",NA,10.8,1.85411616971131,"AVES","Accipiter nisus"
"297","Myodes gapperi","myodesgapperi",0.22,"DM","Prugh_etal","0.22","km",0,"MG","AWD","They sometimes store food in their nests for use in the winter when it becomes difficult to forage","",2500,"CJL - value was 8100","Harestad and Bunnel 1979","0.25","ha",0.016,"Harestad and Bunnel 1979","",4,"CJL","Omnivore/Herbivore","EOL","","","12967973","IUCN (estimated extent of occurrence)",NA,0.0025,0.0282094791773878,"MAMMALIA","Myodes gapperi"
"298","Chelydra serpentina","chelydraserpentina",0.183,"DM","Jenkins_et_al_2007","183","m",0.5,"MG","Obbard_1980","nesting migration","",65300,"DM","Tamburello_etal","65300","m2",4.25,"Tamburello_etal","yes",4,"CF","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.0653,0.144172242709204,"REPTILIA","Chelydra serpentina"
"299","Athene noctua","athenenoctua",94.3,"DM","Jenkins_et_al_2007","94300","m",0,"MG","Fristoe_et_al_2017","resident","",280000,"DM","makarieva_etal_2005","28","ha",0.1565,"Tamburello_etal","",4,"PT","Omnivore/Carnivore","Pigot_etal_2020","flying - air","Tamburello_etal","55000000","IUCN (estimated extent of occurrence)",NA,0.28,0.298541066072092,"AVES","Athene noctua"
"300","Neotoma micropus","neotomamicropus",0.0613,"DM","Whitmee and Ormee 2012","61.3","linear m",0,"MG","Post_etal_2006","Chacher, not hiberntor or migrator","",580.55,"DM","Tamburello_etal","580.55","m2",0.25515,"Tamburello_etal","yes",4,"SDS","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","1471948","IUCN (estimated extent of occurrence)",NA,0.00058055,0.0135939252765344,"MAMMALIA","Neotoma micropus"
"301","Tyto alba","tytoalba",97.1,"DM","Jenkins_et_al_2007","97100","m",0,"MG","Razafindratsima_etal_2018","resident","",1500000,"DM","Tamburello_etal","1500000","m2",0.285,"Tamburello_etal","yes",4,"","Carnivore/Vertivore","Pigot_etal_2020","flying - air","Tamburello_etal","379000000","IUCN (estimated extent of occurrence)",NA,1.5,0.690988298942671,"AVES","Tyto alba"
"302","Chlorocebus aethiops","chlorocebusaethiops",0.5,"DM","Whitmee and Ormee 2012","0.5","linear km",0,"MG","Renevey_et_al_2014","Our six study groups Bay, Blesbokvlakte, Donga, Fishing Camp, Nooitgedacht and Picnic (named after sites on the park map), live in contiguous home ranges along a tourist road.","",543040,"MG","Galan-Acedo et al. 2019","54.304","ha",4.65,"Galan-Acedo et al. 2019","",4,"CJL","Herbivore/Folivore/Frugivore","EOL","","","","",NA,0.54304,0.415758343985116,"MAMMALIA","Chlorocebus aethiops"
"303","Aphelocoma coerulescens","aphelocomacoerulescens",1.8,"DM","Jenkins_et_al_2007","1800","m",0,"MG","Fristoe_et_al_2017","resident","",21000,"SDS","Bowman_2003","2.1","ha",0.0724,"Mace_Harvey_1983","",4,"CF","Omnivore/Omnivore","Pigot_etal_2020","","","71900","IUCN (estimated extent of occurrence)",NA,0.021,0.0817588381146626,"AVES","Aphelocoma coerulescens"
"304","Linaria cannabina","linariacannabina",22,"CJL","Jenkins_et_al_2007","22000","m",2500,"SDS - was 1044","Roseler_2017","2500","km",3140000,"DM - under carduelis cannabina","Tamburello_etal","","m2",0.0155,"Tamburello_etal","",4,"CF","Herbivore/Granivore","Pigot_etal_2020","","","27300000","IUCN (estimated extent of occurrence)",NA,3.14,0.999746489174682,"AVES","Linaria cannabina"
"305","Pituophis melanoleucus","pituophismelanoleucus",0.307,"DM","Jenkins_et_al_2007","307","m",0,"CJL - changed source","Zappalorti_et_al_2015","hibernacula are located within home ranges","",701000,"DM","Tamburello_etal","701000","m2",1.004,"Tamburello_etal","yes",4,"SDS","Carnivore","Tamburello_etal","crawling - land","Tamburello_etal","","",NA,0.701,0.472371919375863,"REPTILIA","Pituophis melanoleucus"
"306","Genetta genetta","genettagenetta",50,"DM","Prugh_etal","50","km",0,"CJL - changed source","Munuera_Llobet_2004","""Despite seasonal variation in home range size, the animals maintained their general spatial location throughout the year; movements to other areas were not detected.""","",7809981.41,"DM","Tamburello_etal","7809981.41","m2",1.75001,"Tamburello_etal","yes",4,"CF","Carnivore","Tamburello_etal","walking - land","Tamburello_etal",">20000","IUCN (estimated extent of occurrence)",NA,7.80998141,1.57670361631938,"MAMMALIA","Genetta genetta"
"307","Ambystoma talpoideum","ambystomatalpoideum",1,"DM","Jenkins_et_al_2007","1000","m",0.155,"SDS","Semlitsch_1985","10, 300","m",4.45,"CF","Semlitsch_1981","","",0.00613,"Semlitch_1983","",4,"CF","Carnivore","Animal_Diversity_Web","","","","",NA,4.45e-06,0.00119015923032083,"AMPHIBIA","Ambystoma talpoideum"
"308","Gloydius shedaoensis","gloydiusshedaoensis",0.1,"DM","Jenkins_et_al_2007","100","m",0,"CJL","shine_2002","whole population is w/in less than 1 square km","",2613.69,"DM","Tamburello_etal","2613.69","m2",0.19681,"Tamburelloe_etal","yes",4,"CF","Carnivore","Tamburello_etal","crawling - land","Tamburello_etal","0.73","IUCN (estimated extent of occurrence)",NA,0.00261369,0.0288437751762787,"REPTILIA","Gloydius shedaoensis"
"309","Buteo buteo","buteobuteo",72.4,"DM","Jenkins_et_al_2007","72400","m",702,"CJL","Strandberg_et_al_2008","7.02E+02","km",1450000,"DM","makarieva_etal_2005","145","ha",0.846,"Tamburello_etal","",4,"CJL","Carnivore/Vertivore","Pigot_etal_2020","flying - air","Tamburello_etal","33900000","IUCN (estimated extent of occurrence)",NA,1.45,0.679374223065975,"AVES","Buteo buteo"
"310","Zootoca vivipara","zootocavivipara",0.1,"DM","Jenkins_et_al_2007","100","m",0,"MG","Strijbosch_1996","From this one may conclude, that here maximally 2 out of every 3 animals live a more or less stationary life","",920,"MG","Perry_Garland_2002","920","m2",0.0032,"Perry_Garland_2002","",4,"SDS","ambush predator","EOL","","","","",NA,0.00092,0.0171127173554958,"REPTILIA","Zootoca vivipara"
"311","Delichon urbicum","delichonurbicum",34.8,"DM","Jenkins_et_al_2007","34800","m",5250,"CJL - changed value","Szep et al. 2017","avg  of 5 inds (4250,4500,4250,5200,8050)","km",636000,"CJL - value was 45","Bryant and Turner 1982","0.45","km radius",0.0157,"EOL","",4,"PLT","Carnivore/Invertivore","Pigot_etal_2020","","","30800000","IUCN (estimated extent of occurrence)",NA,0.636,0.449938982099674,"AVES","Delichon urbicum"
"312","Bison bison","bisonbison",125.6,"MG","Jung_2017","125.6","Km",93,"SDS","Teitelbaum_2015","57,31,35,249","km",265778594.2,"DM","Tamburello_etal","265778594.2","m2",629.9992,"Tamburello_etal","yes",4,"MG","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,265.7785942,9.19782333326151,"MAMMALIA","Bison bison"
"313","Tragelaphus oryx","tragelaphusoryx",461,"CF","","","",213,"SDS","Teitelbaum_2015","213","km",52399844.72,"SDS - listed under synonym","Tamburello_etal","52399844.72","m2",635.03842,"Tamburello_etal","",4,"MG","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,52.39984472,4.08404072076559,"MAMMALIA","Tragelaphus oryx"
"314","Scaphiopus holbrookii","scaphiopusholbrookii",0.825,"DM","Jenkins_et_al_2007","825","m",0.1304,"DM - changed from 0.134","Timm_2014","130.4m +/- 28m","m",53420,"MG - value was 5320, (missed 1 number)","Timm_et_al_2014","130.4","m",0.0451,"EOL","",4,"CF","Carnivore/Invertivore","Animal_Diversity_Web","","","","",NA,0.05342,0.130399824079399,"AMPHIBIA","Scaphiopus holbrookii"
"315","Rana sylvatica","ranasylvatica",2.53,"DM","Jenkins_et_al_2007","2530","m",0.3,"SDS","Vasconcelos_Calhoun_2004","300","m",64.5,"MG","Bellis_1965","77.2","yards2",0.0144,"Trochet_etal","",4,"SDS","Omnivore/Invertivore","Animal_Diversity_Web","","","","",NA,6.45e-05,0.00453111329132858,"NA","Rana sylvatica"
"316","Pelobates fuscus","pelobatesfuscus",0.5,"DM","Jenkins_et_al_2007","500","m",0.0179,"DM","Trochet_etal","17.9","m",148.2,"CF","Eggert_2002","148.2","m^2",0.0216,"Trochet_etal","",4,"SDS","Carnivore/Insectivore","Trohet_etal","walk_swim - land_water","Trochet_etal","","",NA,0.0001482,0.00686829856168453,"AMPHIBIA","Pelobates fuscus"
"317","Bombina variegata","bombinavariegata",0.3128,"DM","Jenkins_et_al_2007","312.8","m",0.19273,"DM","Trochet_etal","192.73","m",2330,"CJL","Jacob_et_al_2009","average of 2357 & 2303 for males & females","m2",0.00632,"Trochet_etal","",4,"CJL","Carnivore/Insectivore","Trochet_etal","walk, swim - land, water","Trochet_etal","","",NA,0.00233,0.0272334726909411,"AMPHIBIA","Bombina variegata"
"318","Salamandra salamandra","salamandrasalamandra",0.03,"DM","Jenkins_et_al_2007","30","m",0.0665,"DM","Trochet_etal","66.5","m",494,"MG - value was 61.5","Schulte_et_al_2007","494","m2",0.03523,"Trochet_etal","",4,"","Carnivore","EOL","walking - land","Trochet_etal","","",NA,0.000494,0.0125397401797163,"AMPHIBIA","Salamandra salamandra"
"319","Bombina bombina","bombinabombina",1,"SDS","Vines_2002","1","km",0.17,"DM","Trochet_etal","1.70E+02","m",60,"DM","Trochet_etal","60","m2",0.00307,"Trochet_etal","yes",4,"CF","Insectivore","Trochet_etal","walk, swimming - land, water","Trochet_etal","","",NA,6e-05,0.00437019372236832,"AMPHIBIA","Bombina bombina"
"320","Bufo bufo","bufobufo",3.62102,"DM","Jenkins_et_al_2007","3621.02","m",0.015,"DM","Trochet_etal","15","m",50,"DM","Trochet_etal","50","m2",0.07654,"Trochet_etal","yes",4,"","Carnivore/Insectivore","Trochet_etal","walking - land","Trochet_etal","","",NA,5e-05,0.00398942280401433,"AMPHIBIA","Bufo bufo"
"321","Epidalea calamita","epidaleacalamita",0.068,"MG","Leskovar_Sinsch_2005","68","m",0.51066,"DM","Trochet_etal","510.66","m",1450,"DM","Trochet_etal","1450","m2",0.05022,"Trochet_etal","yes",4,"CJL","Carnivore/Insectivore","Trochet_etal","walking - land","Trochet_etal","","",NA,0.00145,0.0214836992849578,"AMPHIBIA","Epidalea calamita"
"322","Hyla arborea","hylaarborea",12.6,"DM","Jenkins_et_al_2007","12600","m",0.39,"DM","Trochet_etal","390","m",10,"DM","Trochet_etal","10","m2",0.00604,"Trochet_etal","yes",4,"","Carnivore/Insectivore","Trochet_etal","climbing/jumping","Trochet_etal","","",NA,1e-05,0.00178412411615277,"AMPHIBIA","Hyla arborea"
"323","Rana arvalis","ranaarvalis",7.6,"DM","Jenkins_et_al_2007","7600","m",0.0085,"DM","Trochet_etal","8.5","m",100,"DM","Trochet_etal","100","m2",0.0108,"Trochet_etal","yes",4,"","Carnivore/Insectivore","Trochet_etal","walking - land","Trochet_etal","","",NA,1e-04,0.00564189583547756,"AMPHIBIA","Rana arvalis"
"324","Rana dalmatina","ranadalmatina",0.3,"DM","Jenkins_et_al_2007","300","m",0.1942,"DM","Trochet_etal","194.2","m",90,"DM","Trochet_etal","90","m2",0.02099,"Trochet_etal","yes",4,"","Carnivore/Insectivore","Trochet_etal","walk_swim - land_water","Trochet_etal","","",NA,9e-05,0.00535237234845831,"AMPHIBIA","Rana dalmatina"
"325","Rana temporaria","ranatemporaria",0.46,"DM","Jenkins_et_al_2007","460","m",0.031,"DM","Trochet_etal","31","m",119.5,"DM","Trochet_etal","119.5","m2",0.04224,"Trochet_etal","yes",4,"","Carnivore/Insectivore","Trochet_etal","walk_swim - land_water","Trochet_etal","","",NA,0.0001195,0.00616749798532298,"AMPHIBIA","Rana temporaria"
"326","Anaxyrus americanus","anaxyrusamericanus",0.686,"MG","Forester_etal_2006","686","m",0.45273,"DM","Trochet_etal","452.73","m",687.95,"DM","Trochet_etal_2014","687.95","m2",0.06,"Trochet_etal","yes",4,"","Carnivore/Insectivore","Trochet_etal","walking - land","Trochet_etal","","",NA,0.00068795,0.014798016292738,"AMPHIBIA","Anaxyrus americanus"
"327","Microcebus murinus","microcebusmurinus",0.157,"DM","Whitmee and Ormee (2012)","157","linear m",0,"DM - non-migratory","Vuarin_2015","0",NA,19166.6667,"MG","Galan-Acedo et al. 2019","1.916667","ha",0.06,"Galan-Acedo et al. 2019","",4,"CJL","Omnivore/Invertivore","EOL","","","224757","IUCN (estimated extent of occurrence)",NA,0.0191666667,0.0781085110330472,"MAMMALIA","Microcebus murinus"
"328","Hoplocephalus bungaroides","hoplocephalusbungaroides",0.9,"DM","Jenkins_et_al_2007","900","m",0.78,"SDS","Webb_1997","780","m",27379,"DM","Tamburello_etal","27379","m2",0.04879,"Tamburello_etal","yes",4,"CF","Carnivore","Tamburello_etal","crawling - land","Tamburello_etal","30756","IUCN (estimated extent of occurrence)",NA,0.027379,0.0933541984799077,"REPTILIA","Hoplocephalus bungaroides"
"329","Capra hircus","caprahircus",80,"DM","Prugh_etal","80","km",0,"SDS","ADW","","",64528266.75,"DM","Tamburello_etal","64528266.75","m2",50.99998,"Tamburello_etal","yes",4,"CF","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,64.52826675,4.53210604960098,"NA","Capra hircus"
"330","Contopus virens","contopusvirens",NA,"","stop here - these have 3","","",4888.3,"stop here - these have 3","Horton_2018","","",43700,"stop here - these have 3","Armstrong_1965","","",0.0147,"Armstrong_1965","",3,"CJL","","","","","","",NA,0.0437,0.117941265154447,"AVES","Contopus virens"
"331","Podilymbus podiceps","podilymbuspodiceps",NA,"",NA,"","",1502,"","La Sorte et al. 2016","","",13100,"","Armstrong_1965","","",0.394,"Armstrong_1965","",3,"CF","","","","","","",NA,0.0131,0.0645744493511765,"AVES","Podilymbus podiceps"
"332","Mareca strepera","marecastrepera",NA,"",NA,"","",1282,"","La Sorte et al. 2016","","",271000,"","Armstrong_1965","","",0.719,"Tamburello_etal","",3,"CF","","","","","","",NA,0.271,0.293703897072898,"AVES","Mareca strepera"
"333","Buteo jamaicensis","buteojamaicensis",NA,"",NA,"","",1126,"","La Sorte et al. 2016","","",3986800,"","Armstrong_1965","","",1.126,"Tamburello_etal","",3,"CF","Carnivore","Tamburello_etal","flying - air","Tamburello_etal","","",NA,3.9868,1.12651580292401,"AVES","Buteo jamaicensis"
"334","Selasphorus calliope","selasphoruscalliope",NA,"",NA,"","",5000,"","Hein_Gillooly_2011","","",3000,"","Armstrong_1987","","",0.0028,"Hein_Gillooly_2011","",3,"CF","","","","","","",NA,0.003,0.0309019361618552,"AVES","Selasphorus calliope"
"335","Kobus kob","kobuskob",NA,"",NA,"","",350,"","Hein_Gillooly_2011","","",3100000,"","Balmford_1992","","",79,"Hein_Gillooly_2011","",3,"SDS","","","","","","",NA,3.1,0.993358267278101,"MAMMALIA","Kobus kob"
"336","Sylvia melanocephala","sylviamelanocephala",NA,"",NA,"","",500,"","Moller_etal_2004","","",22321,"","Bas_Gomez_2005","","",0.0115,"Moller_etal_2004","",3,"MG","","","","","","",NA,0.022321,0.0842911322115701,"AVES","Sylvia melanocephala"
"337","Cygnus cygnus","cygnuscygnus",NA,"",NA,"","",2000,"","Hein_Gillooly_2011","","",5700000,"","Brazil, 2003","","",9.4,"Hein_Gillooly_2011","",3,"MG","","","","","","",NA,5.7,1.34698416889272,"AVES","Cygnus cygnus"
"338","Didelphis aurita","didelphisaurita",1.3,"","Prugh_etal","","",0,"","Cáceres_2003","","",19000,"","Cáceres_2003","","",1.295,"EOL","",3,"CF","","","","","","",NA,0.019,0.0777681672504375,"MAMMALIA","Didelphis aurita"
"339","Vermivora chrysoptera","vermivorachrysoptera",NA,"",NA,"","",3682.3,"","Horton_2018","","",8.77,"","Chandler_et_al_2016","","",0.4885915,"","",3,"MG","","","","","","",NA,8.77e-06,0.00167080151479218,"AVES","Vermivora chrysoptera"
"340","Charadrius melodus","charadriusmelodus",596,"","Jenkins_et_al_2007","","",2419,"","La Sorte et al. 2016","","",NA,"","Drake_et_al_2001","","",0.057,"EOL","",3,"CJL","","","","","","",NA,NA,NA,"AVES","Charadrius melodus"
"341","Pyrocephalus rubinus","pyrocephalusrubinus",NA,"",NA,"","",4000,"","Hein_Gillooly_2011","","",0.014,"","Hein_Gillooly_2011","","",0.0125,"EOL","",3,"SDS","","","","","","",NA,1.4e-08,6.67558117812455e-05,"AVES","Pyrocephalus rubinus"
"342","Camelus bactrianus","camelusbactrianus",NA,"",NA,"","",200,"","Hein_Gillooly_2011","","",9.39e+09,"","Kaczenksy_etal_2014","","",690,"Hein_Gillooly_2011","",3,"PLT","","","","","","",NA,9390,54.6711060000234,"NA","Camelus bactrianus"
