"","scientific_name.x","collapsed_name","dispersal_km","dispersal_checked","source_dispersal","dispersal.original.value","dispersal.original.units","Migration_km","migration_checked","Migration_source","migration.original.value","migration.original.units","mean.hra.m2","home_range_checked","source_hra","hra.original.value","hra.original.unit","Mass_kg","Mass_source","mass.checked","number_traits_completed","person","diet","diet.source","media..air..water..land.","medium.source","geographic.range..km2.","geographic.unit.source","IUCN","mean.hra.km2","hr.radius","class","scientific_name"
"39","Cynomys ludovicianus","cynomysludovicianus",2.355,"DM","Whitmee and Ormee 2012","2.355","linear km",0,"CF","ADW","year round burrows",NA,13300,"CJL","Swithart_etal_1988","1.33","ha",0.958,"EOL","",4,"PLT","Herbivore/Frugivore/Granivore","EOL","","","2619375","IUCN (estimated extent of occurrence)",NA,0.0133,0.0650655168752575,"MAMMALIA","Cynomys ludovicianus"
"40","Emydoidea blandingii","emydoideablandingii",1.115,"DM","Jenkins_et_al_2007","1115","m",1.3,"CJL - changed source & value","Congdon_etal_2011","1300","m",33000,"DM","Tamburello_etal","33000","m2",1.294,"Tamburello_etal","yes",4,"CF","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.033,0.102490127544389,"REPTILIA","Emydoidea blandingii"
"41","Lycaon pictus","lycaonpictus",29.85,"DM","Whitmee and Ormee 2012","29.85","linear km",0,"MG","Creel_1998","gene flow among populations is maintained","",1.75e+09,"MG","Gittleman & Harvey (1982)","1,750.00","km2",27.133,"EOL","",4,"SDS","Carnivore","EOL","running","Hirt_etal","7529483","IUCN (estimated extent of occurrence)",NA,1750,23.6017435970657,"MAMMALIA","Lycaon pictus"
"42","Aepyceros melampus","aepycerosmelampus",1.2,"DM","Whitmee and Ormee 2012","1.2","linear km",24.14,"MG","Dasmann_Mossman_1962","15.00","miles",9e+05,"SDS","Murray_1982","90","ha",63.50384,"Tamburello_etal","",4,"CJL","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.9,0.535237234845831,"MAMMALIA","Aepyceros melampus"
"43","Lontra canadensis","lontracanadensis",200,"DM","Prugh_etal","200","km",0,"CJL","Eccles_etal_2020","""non-migratory""","",9430000,"CJL","Helon_2006","943.24 = weighted mean of males and females: ((9*802.4)+(8*1101.7))/(9+8)","ha",6.225,"Prugh_etal","CJL",4,"","","","","","","",NA,9.43,1.73253058464004,"MAMMALIA","Lontra canadensis"
"44","Sciurus aberti","sciurusaberti",10.13,"DM","Prugh_etal","10.13","km",0,"CJL","Farentinos_1979","home range overlaps in breeding and nonbreeding season","",130888.05,"DM","Tamburello_etal","130888.05","m2",0.7938,"Tamburello_etal","yes",4,"SDS","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","956045","IUCN (estimated extent of occurrence)",NA,0.13088805,0.204115066318776,"MAMMALIA","Sciurus aberti"
"45","Meles meles","melesmeles",8.3,"DM","Jenkins_et_al_2007","8300","m",0,"CJL - changed source","IUCN","""not a migrant""","",870000,"MG","Gittleman and Harvey (1982)","0.87","km2",13,"Prugh_etal (2008)","",4,"SDS","Omnivore/Carnivore","EOL","running","Hirt_etal",">20000","IUCN (estimated extent of occurrence)",NA,0.87,0.526241010355424,"MAMMALIA","Meles meles"
"46","Larus delawarensis","larusdelawarensis",700,"DM","Jenkins_et_al_2007","700000","m",1563,"MG","Gabrey_1996","1.56E+03","km",1.5e+08,"SDS value was 1.5E8","Clark_etal_2016","20","km",0.5,"EOL","",4,"SDS","Omnivore/Carnivore","Pigot_etal_2020","","","8890000","IUCN (estimated extent of occurrence)",NA,150,6.90988298942671,"AVES","Larus delawarensis"
"47","Mustela frenata","mustelafrenata",23.51,"DM","Prugh_etal","23.51","km",0,"CJL - changed source","Gonzales_1997","""permanent resident""","",1112900,"CJL","Harestad and Bunnel 1979","111.29","ha",0.165,"Harestad and Bunnel 1979","sds",4,"SDS","Omnivore/Carnivore","EOL","","","","",NA,1.1129,0.595186586150881,"MAMMALIA","Mustela frenata"
"48","Macropus rufogriseus","macropusrufogriseus",0.67,"DM","Whitmee and Ormee 2012","670","linear m",0,"MG","Green_etal_2014","non-migratory","",163000.9,"DM","tamburello_etal","163000.9","m2",16.85,"tamburello_etal","yes",4,"SDS","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.1630009,0.227782347706874,"MAMMALIA","Macropus rufogriseus"
"49","Varanus varius","varanusvarius",1.8,"DM","Jenkins_et_al_2007","1800","m",0,"CJL","Guarino_2002","home ranges overlap from season to season","",558000,"DM","Perry_Garland_2002","557600","m2",0.5651,"Perry_Garland_2002","yes",4,"SDS","Carnivore","Perry_Garland_2002","running","Hirt_etal","","",NA,0.558,0.421446220164038,"REPTILIA","Varanus varius"
"50","Scalopus aquaticus","scalopusaquaticus",6.05,"DM","Prugh_etal","6.05","km",0,"DM","Harvey_1976","","",7428.65,"DM","Tamburello_etal","7428.65","m2",0.1035,"Tamburello_etal","yes",4,"SDS","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","5845044","IUCN (estimated extent of occurrence)",NA,0.00742865,0.0486272838640944,"MAMMALIA","Scalopus aquaticus"
"51","Urile pelagicus","urilepelagicus",150,"CJL","Jenkins_et_al_2007","150000","m",920,"MG","Hatch_et_al_2001","","",3.14e+08,"MG","Hatch_et_al_2001","10","km",2.041,"EOL","",4,"MG","Carnivore/aquatic predator","Pigot_etal_2020","","","22200000","IUCN (estimated extent of occurrence)",NA,314,9.99746489174682,"AVES","Urile pelagicus"
"52","Apus apus","apusapus",111,"DM","Jenkins_et_al_2007","111000","m",12000,"CJL","Hein_Gillooly_2011","12000","km",9.33e+09,"MG - value as 54500, changed to m but not to m2","ADW","48-61","km",0.04,"Akesson_etal_2012","",4,"PT","Carnivore/Invertivore","Pigot_etal_2020","flying","Hirt_etal","13300000","IUCN (estimated extent of occurrence)",NA,9330,54.4961580122376,"AVES","Apus apus"
"53","Lemmus lemmus","lemmuslemmus",20,"CF- changed value","Ehrich&Stenseth_2001","3","km - the 3km value was for the max distance moved in one day in a radio tracking study. This dispersal distance is estimated from fst",32,"CJL","Hein_Gillooly_2011","32","km",8560,"CJL - value was 6810 (one of the four groups)","Banks_etal_1975","weighted average ((12*1.33)+(6*.681)+(13*0.876)+(11*0.413))/(12+6+13+11) of four groups","ha",0.1,"Hein_Gillooly_2011","",4,"","Herbivore","EOL","","","1336282","IUCN (estimated extent of occurrence)",NA,0.00856,0.0521989715007226,"MAMMALIA","Lemmus lemmus"
