"","scientific_name.x","dispersal_km","Migration_km","mean.hra.m2","Mass_kg","class","order","diet_broadest_cat","media_simplified","media_dispersal","media_migration","media_foraging","source_dispersal","Migration_source","source_hra","dispersal_type","hr.radius","dispersal_source_type","foraging_source_type","migration_source_type","dispersal_year","foraging_year","migration_year"
"296","Vireo_olivaceus",95.0001,5083,7284.33,0.0176,"Aves","Passeriformes","Invertivore","air","air","air","air","Tittler_etal_2009","LaSorte_etal_2013","Tamburello_etal_2015","median",0.0481526141889012,"db","db","db","2009","2015","2013"
"297","Corvus_brachyrhynchos",85.0001,912,6400000,0.448,"Aves","Passeriformes","Omnivore","air","air","air","air","Tittler_etal_2009","Verbeek_Caffrey_2020","Yaremych_etal_2004","median",1.42729929292222,"db","single","single","2009","2004","2020"
"298","Rangifer_tarandus",39.0001,1200,3550830977,102.05869,"Mammalia","Artiodactyla","Herbivore","land","land","land","land","vanOort_etal_2005","Hein_Gillooly_2011","Tamburello_etal_2015","max",33.6194081468837,"single","db","db","2005","2015","2011"
"299","Bombina_bombina",1.0001,0.17,60,0.00307,"Amphibia","Anura","Invertivore","water","land","land","land_aquatic","Vines_2002","Trochet_etal_2014","Trochet_etal_2014_2014","mean",0.00437019372236832,"single","db","db","2002","2014","2014"
"300","Buteo_regalis",592.0001,2376,1.2e+07,1.776,"Aves","Accipitriformes","Carnivore","air","air","air","air","Watson_etal_2019","Watson_etal_2018","Makarieva_etal_2005","mean",1.95441004761168,"single","db","single","2019","2005","2018"
"301","Ictidomys_tridecemlineatus",0.2287,0,6600,0.193,"Mammalia","Rodentia","Omnivore","land","land","","land","Whitmee_Orme_2013","Streubel_Fitzgerald_1978","Harestad_ Bunnel_1979","mean",0.0458349784423754,"db","db","single","2013","1979","1978"
"302","Vulpes_rueppellii",32.0001,0,30399749.15,3.24997,"Mammalia","Carnivora","Carnivore","land","land","","land","Whitmee_Orme_2013","Lindsay_Macdonald_1986","Tamburello_etal_2015","mean",3.11071385568526,"db","db","single","2013","2015","1986"
"303","Hylobates_lar",0.6201,0,386666.667,5.64,"Mammalia","Primates","Omnivore","land","land","","land","Whitmee_Orme_2013","Bartlett_2009","Galan-Acedo_etal_2019","mean",0.350827340388168,"db","db","single","2013","2019","2009"
"304","Panthera_pardus",9.8301,0,21080000,52.4,"Mammalia","Carnivora","Carnivore","land","land","","land","Whitmee_Orme_2013","Rozhonov_2015","Kroshko_etal_2016","mean",2.59036144210693,"db","db","single","2013","2016","2015"
"305","Didelphis_virginiana",4.7261,0,109062.78,3.63,"Mammalia","Didelphimorphia","Omnivore","land","land","","land","Whitmee_Orme_2013","Sunquist_Eisenberg_1993","McNab_1963","max",0.186321660277832,"db","db","single","2013","1963","1993"
"306","Cynomys_ludovicianus",2.3551,0,13300,1.1,"Mammalia","Rodentia","Herbivore","land","land","","land","Whitmee_Orme_2013","ADW","Swihart_etal_1988","mean",0.0650655168752575,"db","db","db","2013","1988","ADW"
"307","Lycaon_pictus",29.8501,0,1.75e+09,22,"Mammalia","Carnivora","Carnivore","land","land","","land","Whitmee_Orme_2013","Creel_Creel_1998","Gittleman_Harvey_1982","mean of medians",23.6017435970657,"db","db","single","2013","1982","1998"
"308","Aepyceros_melampus",1.2001,24.14,9e+05,63.50384,"Mammalia","Artiodactyla","Herbivore","land","land","land","land","Whitmee_Orme_2013","Dasmann_Mossman_1962","Murray_1982","mean",0.535237234845831,"db","single","single","2013","1982","1962"
"309","Vulpes_vulpes",18.1688778,65,11663333.33,4.1,"Mammalia","Carnivora","Omnivore","land","land","land","land","Whitmee_Orme_2013","Hein_etal_2012","Lindstedt_etal_1986","mean",1.92679897882366,"db","db","db","2013","1986","2012"
"310","Ursus_americanus",25.6776,140,22850000,100,"Mammalia","Carnivora","Omnivore","land","land","land","land","Whitmee_Orme_2013","Hein_etal_2012","Swihart_etal_1988","mean",2.69692063274017,"db","db","db","2013","1988","2012"
"311","Panthera_leo",12.3001,0,2.4e+08,155.8,"Mammalia","Carnivora","Carnivore","land","land","","land","Whitmee_Orme_2013","Kittle_2016","Gittleman_Harvey_1982","mean",8.74038744473663,"db","db","single","2013","1982","2016"
"312","Leopardus_pardalis",9.9001,0,16100000,9.98964,"Mammalia","Carnivora","Carnivore","land","land","","land","Whitmee_Orme_2013","IUCN","Gonzalez-Borrajo_etal_2017","mean",2.26379971895904,"db","single","db","2013","2017","IUCN"
"313","Caracal_caracal",90.0001,0,275760000,12.9999,"Mammalia","Carnivora","Carnivore","land","land","","land","Whitmee_Orme_2013","IUCN","Kroshko_etal_2016","max",9.36894520285193,"db","db","db","2013","2016","IUCN"
"314","Antechinus_stuartii",1.5001,0,35000.16,0.0275,"Mammalia","Dasyuromorphia","Carnivore","land","land","","land","Whitmee_Orme_2013","Lazenby-Cohen and Cockburn 1991","Tamburello_etal_2015","max",0.105550447398457,"db","db","single","2013","2015","1991"
"315","Brachylagus_idahoensis",1.9501,0,4858.81,0.3402,"Mammalia","Lagomorpha","Herbivore","land","land","","air","Whitmee_Orme_2013","Montana field guide","Tamburello_etal_2015","mean of medians",0.0393269279004687,"db","db","db","2013","2015","mt.gov"
"316","Alouatta_palliata",1.3001,0,404500,6.12,"Mammalia","Primates","Herbivore","land","land","","land","Whitmee_Orme_2013","IUCN","Galan-Acedo_etal_2019","mean",0.358826349313067,"db","db","db","2013","2019","IUCN"
"317","Neotoma_micropus",0.0614,0,580.55,0.25515,"Mammalia","Rodentia","Herbivore","land","land","","land","Whitmee_Orme_2013","Post_etal_2006","Tamburello_etal_2015","mean",0.0135939252765344,"db","db","single","2013","2015","2006"
"318","Chlorocebus_aethiops",0.5001,0,543040,4.65,"Mammalia","Primates","Omnivore","land","land","","land","Whitmee_Orme_2013","Renevey_et_al_2014","Galan-Acedo_etal_2019","max",0.415758343985116,"db","db","single","2013","2019","2014"
"319","Microcebus_murinus",0.1571,0,19166.6667,0.06,"Mammalia","Primates","Invertivore","land","land","","land","Whitmee_Orme_2013","Vuarin_2015","Galan-Acedo_etal_2019","mean of medians",0.0781085110330472,"db","db","single","2013","2019","2015"
"320","Aplodontia_rufa",0.1526,0,1800,1.135,"Mammalia","Rodentia","Herbivore","land","land","","land","Whitmee_Orme_2013, Prugh_etal_2008","IUCN","Mace_Harvey_1983","mean",0.023936536824086,"single","db","db","2008","1983","IUCN"
